"Category","Path","LineNumber","Line"
"乱码注释/文本","Code\01_Task\Inc\task_dcc.h","55","/* 鍏煎鏃ф帴鍙ｏ細浠呭綋杩愯鐘舵€佷负ON鏃惰繑鍥?锛屽惁鍒欒繑鍥? */"
"占位注释","Code\01_Task\Inc\task_gpio.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_gpio.h","24","/* 浠绘剰鎸夐敭鍙嶉锛氶粍鐏剦鍐叉椂闀?*/"
"乱码注释/文本","Code\01_Task\Inc\task_gpio.h","26","/* 浠绘剰鎸夐敭鍙嶉锛氳渹楦ｅ櫒鐭福鏃堕暱 */"
"乱码注释/文本","Code\01_Task\Inc\task_gpio.h","29","/* ON鎬侊細缁跨伅闂儊鍛ㄦ湡 */"
"占位注释","Code\01_Task\Inc\task_gpio.h","40","* @brief  接口说明：StartGpioTask"
"占位注释","Code\01_Task\Inc\task_gpio.h","41","* @param argument 参数说明"
"占位注释","Code\01_Task\Inc\task_gpio.h","42","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Inc\task_gpio.h","47","/* 鎸夐敭鍙嶉淇″彿閲忥細鐢盞eyTask閲婃斁锛孏pioTask娑堣垂銆?*/"
"占位注释","Code\01_Task\Inc\task_init.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","14","* @brief InitTask 鍏ュ彛鍑芥暟銆? *"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","16","* 璇ヤ换鍔″彧璐熻矗鈥滅郴缁熶竴娆℃€у垵濮嬪寲鈥濓細"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","17","* 1. 鏄惧紡缁戝畾鎵€鏈夐潪 UART / 闈?OLED 鐨勭‖浠舵槧灏勶紙LED銆佺户鐢靛櫒銆佺數鏈恒€佸惊杩逛紶鎰熷櫒锛夈€? * 2. 璋冪敤瀵瑰簲妯″潡鍒濆鍖栨帴鍙ｏ紝寤虹珛绋冲畾鐨勪笂鐢电姸鎬併€? * 3. 鍒濆鍖栧畬鎴愬悗閲婃斁 Sem_Init锛屼綔涓哄叏绯荤粺鍚姩闂ㄦ帶淇″彿銆? * 4. 浠诲姟瀹屾垚浣垮懡鍚庤嚜鍒犻櫎锛屼笉鍐嶅弬涓庤皟搴︼紝閬垮厤鍗犵敤 CPU 涓庢爤璧勬簮銆? *"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","18","* @param argument 浠诲姟鍙傛暟锛堝綋鍓嶅疄鐜版湭浣跨敤锛夈€? */"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","22","* @brief 缁熶竴鐨勨€滃垵濮嬪寲瀹屾垚绛夊緟鈥濋棬鎺у嚱鏁般€? *"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","24","* 鍏朵粬涓氬姟浠诲姟锛圙PIO銆並EY銆丏CC銆丳C銆丼TEPPER銆乀EST銆丏EFAULT锛夊湪杩涘叆鍚勮嚜涓诲惊鐜墠"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","25","* 閮藉簲鍏堣皟鐢ㄨ鍑芥暟銆傚嚱鏁拌涓哄涓嬶細"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","26","* 1. 闃诲绛夊緟 Sem_Init锛堢敱 InitTask 鍦ㄥ垵濮嬪寲瀹屾垚鍚庨噴鏀撅級銆? * 2. 涓€鏃︽垚鍔熻幏鍙栦俊鍙烽噺锛岀珛鍗冲啀閲婃斁涓€娆★紝褰㈡垚鈥滈椄闂ㄥ父寮€鈥濇晥鏋溿€? * 3. 鍚庣画浠讳綍浠诲姟璋冪敤姝ゅ嚱鏁伴兘鍙揩閫熼€氳繃锛屼笉浼氬啀娆¤闀挎湡闃诲銆? *"
"乱码注释/文本","Code\01_Task\Inc\task_init.h","28","* 璇ヨ璁℃湰璐ㄦ槸鈥滃崟娆″垵濮嬪寲 -> 澶氫换鍔″叡浜€氳繃鏉冣€濓紝閬垮厤姣忎釜浠诲姟閲嶅鍒濆鍖栫‖浠躲€? */"
"占位注释","Code\01_Task\Inc\task_key.h","3","* @brief   代码文件功能说明"
"占位注释","Code\01_Task\Inc\task_key.h","23","* @brief  接口说明：StartKeyTask"
"占位注释","Code\01_Task\Inc\task_key.h","24","* @param argument 参数说明"
"占位注释","Code\01_Task\Inc\task_key.h","25","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Inc\task_key.h","30","/* 浠绘剰鎸夐敭浜嬩欢鍙嶉淇″彿閲忥紙鐢盞eyTask閲婃斁锛孏pioTask鐢ㄤ簬榛勭伅鐭棯锛?*/"
"占位注释","Code\01_Task\Inc\task_oled.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_oled.h","11","* @brief   OLED 鏄剧ず浠诲姟鎺ュ彛瀹氫箟"
"乱码注释/文本","Code\01_Task\Inc\task_oled.h","13","* 璇ヤ换鍔¤礋璐ｅ懆鏈熷埛鏂?OLED 鍐呭锛屽苟鎸夎瀹氬懆鏈熸洿鏂扮數姹犻噰鏍锋暟鎹樉绀恒€?"
"乱码注释/文本","Code\01_Task\Inc\task_oled.h","23","/** OLED 鍒锋柊鍛ㄦ湡锛堝崟浣嶏細姣锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_oled.h","26","/** 鐢垫睜閲囨牱鍛ㄦ湡锛堝崟浣嶏細绉掞級 */"
"乱码注释/文本","Code\01_Task\Inc\task_oled.h","34","* @param argument 浠诲姟鍙傛暟鎸囬拡锛堝綋鍓嶅疄鐜颁腑閫氬父鏈娇鐢級"
"占位注释","Code\01_Task\Inc\task_stepper.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","11","* @brief   浜戝彴姝ヨ繘鐢垫満浠诲姟鎺ュ彛涓庡弬鏁板畾涔? *"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","12","* 璇存槑锛? * 1. 鏈换鍔¤礋璐ｈ鍙?K230 瑙嗚璇樊骞舵帶鍒?X/Y 涓よ酱姝ヨ繘鐢垫満銆? * 2. 鏈ご鏂囦欢鍖呭惈浠诲姟璋冨害鍙傛暟銆佹帶鍒跺弬鏁般€佺姸鎬佺粨鏋勪綋鍜屽澶栨帴鍙ｃ€? ******************************************************************************"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","23","/* ========================= 浠诲姟璋冨害鍙傛暟 ========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","25","/* Stepper 浠诲姟鎵ц鍛ㄦ湡锛堟绉掞級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","31","/* 浠诲姟鍚姩寮€鍏筹細1=鍚姩鍚庢甯歌繍琛岋紝0=鍚姩鍚庢寕璧?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","34","/* 鍙戦€佸埌 VOFA 鐨勬洸绾挎爣绛撅紙褰撳墠鍙戦€?err1/err2锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","39","/* 涓?K230 鍗忚绾﹀畾锛歩d=1 涓?X 杞达紝id=2 涓?Y 杞?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","43","/* 杞翠娇鑳藉紑鍏筹細鍙敤浜庤仈璋冩椂鍗曠嫭灞忚斀鏌愪竴杞翠笅鍙?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","47","/* ========================= 涓插彛涓庨┍鍔ㄥ湴鍧€ ========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","49","/* 姝ヨ繘椹卞姩鍦板潃锛堝綋鍓嶄袱杞撮兘涓?1锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","53","/* ========================= 鎺у埗鍙傛暟锛堝彲璋冿級 ========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","55","/* 缁嗗垎涓庢瘡鍦堣剦鍐叉暟锛?00 * 16 = 3200 pulse/rev */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","58","/* 閫熷害妯″紡鏈€澶ч€熷害锛坮pm锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","61","/* 浣嶇疆妯″紡鏈€澶ч€熷害锛坮pm锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","64","/* 浣嶇疆 PID 鍙傛暟锛堣緭鍑哄崟浣嶏細姣忓懆鏈熻剦鍐叉暟锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","69","/* PID 杈撳嚭闄愬箙锛堟瘡鍛ㄦ湡鏈€澶ц剦鍐插懡浠わ級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","75","/* 璇樊姝诲尯锛殀err| < deadband 鏃跺仠鏈?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","78","/* 灏忚宸槇鍊硷細|err| <= 闃堝€兼椂浠呬娇鐢?Kp锛堝叧闂Н鍒嗭級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","81","/* 灏忚宸尯 Kp 澧炵泭锛堝崟浣嶏細pulse/cycle per err锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","84","/* mode1锛圫TRAIGHT锛夊墠棣堝紑鍏充笌鍙傛暟"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","85","* 鍓嶉鏉ユ簮锛氬簳鐩樼紪鐮佸櫒鐩搁偦閲囨牱宸垎"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","86","* 鍓嶉杈撳嚭锛氫笌 PID 杈撳嚭鐩稿姞鍚庝綔涓烘渶缁堣剦鍐插懡浠? */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","92","/* Y 杞村浐瀹氫綅缃祴璇曟ā寮忥紙璋冭瘯寮€鍏筹級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","98","/* X 杞磋蒋闄愪綅鑼冨洿锛歔-800, +800] */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","101","/* Y 杞磋蒋闄愪綅鑼冨洿锛歔-400, +400] */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","104","/* 棰勭暀鍙傛暟锛氬姩浣滃畬鎴愰澶栦繚鎶ゆ椂闂达紙褰撳墠鏈娇鐢級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","107","/* 鏂瑰悜鍙嶇浉寮€鍏筹細0=涓嶅弽鐩革紝1=鍙嶇浉 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","111","/* ========================= 鐘舵€佺粨鏋勪綋 ========================= */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","114","* @brief Stepper 浠诲姟鍙鐘舵€佸揩鐓? */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","117","bool configured;             /* 浠诲姟璧勬簮鍒濆鍖栨槸鍚﹀畬鎴?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","120","bool x_axis_bound;           /* X 杞撮┍鍔ㄩ€氶亾鏄惁宸茬粦瀹?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","121","bool y_axis_bound;           /* Y 杞撮┍鍔ㄩ€氶亾鏄惁宸茬粦瀹?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","123","uint8_t dcc_mode;            /* 褰撳墠 DCC 妯″紡锛圛DLE/STRAIGHT/TRACK锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","124","uint8_t dcc_run_state;       /* 褰撳墠 DCC 杩愯鐘舵€侊紙OFF/PREPARE/ON/STOP锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","126","uint8_t motor1_id;           /* 鏈€鏂板抚 motor1_id */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","127","int16_t err1;                /* 鏈€鏂板抚 err1锛堣瑙夎宸級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","128","uint8_t motor2_id;           /* 鏈€鏂板抚 motor2_id */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","129","int16_t err2;                /* 鏈€鏂板抚 err2锛堣瑙夎宸級 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","131","int32_t x_pos_pulse;         /* X 杞翠换鍔″眰浼拌浣嶇疆锛坧ulse锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","132","int32_t y_pos_pulse;         /* Y 杞翠换鍔″眰浼拌浣嶇疆锛坧ulse锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","133","uint8_t x_busy;              /* 棰勭暀瀛楁 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","134","uint8_t y_busy;              /* 棰勭暀瀛楁 */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","136","uint32_t x_last_pulse_cmd;   /* X 杞存渶杩戜竴娆＄瓑鏁堣剦鍐插懡浠?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","137","uint32_t y_last_pulse_cmd;   /* Y 杞存渶杩戜竴娆＄瓑鏁堣剦鍐插懡浠?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","138","uint16_t x_last_speed_cmd;   /* X 杞存渶杩戜竴娆￠€熷害鍛戒护锛坮pm锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","139","uint16_t y_last_speed_cmd;   /* Y 杞存渶杩戜竴娆￠€熷害鍛戒护锛坮pm锛?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","141","uint32_t frame_update_count; /* 鎺ユ敹鍒版柊瑙嗚甯ф鏁?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","142","uint32_t x_cmd_ok_count;     /* X 杞村懡浠ゆ垚鍔熸鏁?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","143","uint32_t y_cmd_ok_count;     /* Y 杞村懡浠ゆ垚鍔熸鏁?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","146","uint32_t vofa_tx_ok_count;   /* VOFA 鍙戦€佹垚鍔熸鏁?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","147","uint32_t vofa_tx_drop_count; /* VOFA 鍙戦€佸け璐ユ鏁?*/"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","150","/* ========================= 瀵瑰鎺ュ彛 ========================= */"
"占位注释","Code\01_Task\Inc\task_stepper.h","154","* @brief  接口说明：task_stepper_is_ready"
"占位注释","Code\01_Task\Inc\task_stepper.h","156","* @return 返回值说明"
"占位注释","Code\01_Task\Inc\task_stepper.h","161","* @brief  接口说明：StartStepperTask"
"占位注释","Code\01_Task\Inc\task_stepper.h","162","* @param argument 参数说明"
"占位注释","Code\01_Task\Inc\task_stepper.h","163","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","170","* @brief 瀵瑰閫熷害鍛戒护鎺ュ彛锛堝唴閮ㄤ細闄愬箙鍒?TASK_STEPPER_VEL_MAX_RPM锛? */"
"乱码注释/文本","Code\01_Task\Inc\task_stepper.h","178","* @brief 瀵瑰浣嶇疆鍛戒护鎺ュ彛锛堝唴閮ㄤ細闄愬箙鍒?TASK_STEPPER_POS_MAX_RPM锛? */"
"占位注释","Code\01_Task\Inc\task_test.h","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Inc\task_test.h","11","* @brief   娴嬭瘯浠诲姟鎺ュ彛瀹氫箟"
"乱码注释/文本","Code\01_Task\Inc\task_test.h","13","* 褰撳墠鐢ㄤ簬鍛ㄦ湡璇诲彇 12 璺惊杩圭姸鎬佸苟閫氳繃 VOFA 涓婃姤銆?"
"乱码注释/文本","Code\01_Task\Inc\task_test.h","27","#define TASK_TEST_PERIOD_MS    (1000000U)  // 娴嬭瘯浠诲姟閲囨牱/鍙戦€佸懆鏈燂紙ms锛?"
"乱码注释/文本","Code\01_Task\Inc\task_test.h","28","#define TASK_TEST_PREPARE_MS   (5000U)  // 棰勭暀锛氭祴璇曞惎鍔ㄥ墠鍑嗗鏃堕棿锛坢s锛?"
"乱码注释/文本","Code\01_Task\Inc\task_test.h","29","#define TASK_TEST_TARGET_SPEED (40)     // 棰勭暀锛氭祴璇曢粯璁ょ洰鏍囬€熷害"
"占位注释","Code\01_Task\Inc\task_test.h","32","* @brief  接口说明：StartTestTask"
"占位注释","Code\01_Task\Inc\task_test.h","33","* @param argument 参数说明"
"占位注释","Code\01_Task\Inc\task_test.h","34","* @return 返回值说明"
"占位注释","Code\01_Task\Src\task_dcc.c","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","12","#define TASK_DCC_GRAY_STOP_COUNT (3U)      /* 鐩寸嚎妯″紡锛氳繛缁粦绾胯Е鍙戦槇鍊?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","13","#define TASK_DCC_STARTUP_DELAY_MS (3000U)  /* 涓婄數鍚庝换鍔￠澶栧欢鏃讹紝閬垮厤鍚姩鐬€?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","16","/* 褰撳墠妯″紡锛?=IDLE, 1=STRAIGHT, 2=TRACK */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","18","/* 褰撳墠杩愯鐘舵€侊細OFF / PREPARE / ON / STOP */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","38","/* 娴偣鍗犵┖姣旇浆鏁村瀷鍛戒护锛堝惈闄愬箙涓庡洓鑸嶄簲鍏ワ級 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","56","/* 绔嬪嵆鍋滄鍙岀數鏈?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","63","/* 缁熶竴澶嶄綅PID鍐呴儴鐘舵€?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","77","/* 姣杞瑃ick锛屽悜涓婂彇鏁达紝涓旀渶灏戜负1 tick */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","96","/* Tick姣旇緝锛歯ow鏄惁鍒拌揪target锛堟敮鎸佸洖缁曪級 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","102","/* 杩涘叆OFF锛氬仠鏈?+ PID澶嶄綅 + 榛戠嚎璁℃暟娓呴浂 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","119","/* 杩涘叆PREPARE锛氱瓑寰?绉掞紝涓嶈緭鍑虹數鏈?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","136","/* 杩涘叆ON锛氬厑璁告寜褰撳墠mode鎵ц鎺у埗 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","153","/* 杩涘叆STOP锛氬仠鏈轰繚鎶ゆ€侊紝鍚屾椂mode鍥炲埌0 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","171","/* 璇诲彇12璺伆搴︾姸鎬侊紝鍒ゆ柇鏄惁浠绘剰涓€璺娴嬪埌榛戠嚎 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","193","/* 鐩寸嚎妯″紡鎺у埗锛氫綅缃幆 + 閫熷害鐜紱鏀寔1绉掍紶鎰熷櫒淇濇姢绐?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","219","/* 淇濇姢绐楀唴锛氬拷鐣ヤ紶鎰熷櫒鎬ュ仠锛岃鏁板綊闆?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","224","/* 杩炵画3娆℃娴嬪埌浠绘剰榛戠嚎锛氳繘鍏TOP骞跺洖mode0 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","267","/* 寰抗妯″紡鎺у埗锛氭寜weight鍒嗛厤宸﹀彸鐩爣閫熷害 + 閫熷害鐜?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","292","/* 鏈璇诲彇鍒版湁鏁堢數骞筹細鍒锋柊鈥滀笂涓€娆℃湁鏁堟潈閲嶁€?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","299","/* 鏈鏈鍙栧埌鏈夋晥鐢靛钩锛氭部鐢ㄤ笂涓€娆℃湁鏁堟潈閲?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","306","/* 灏氭棤鏈夋晥鍘嗗彶鍊兼椂锛岄€€鍖栦负0 */"
"占位注释","Code\01_Task\Src\task_dcc.c","329","* @brief  函数说明：task_dcc_get_mode"
"占位注释","Code\01_Task\Src\task_dcc.c","331","* @return 返回值说明"
"占位注释","Code\01_Task\Src\task_dcc.c","340","* @brief  函数说明：task_dcc_get_run_state"
"占位注释","Code\01_Task\Src\task_dcc.c","342","* @return 返回值说明"
"占位注释","Code\01_Task\Src\task_dcc.c","351","* @brief  函数说明：task_dcc_get_ready"
"占位注释","Code\01_Task\Src\task_dcc.c","353","* @return 返回值说明"
"占位注释","Code\01_Task\Src\task_dcc.c","362","* @brief  函数说明：StartDccTask"
"占位注释","Code\01_Task\Src\task_dcc.c","363","* @param argument 参数说明"
"占位注释","Code\01_Task\Src\task_dcc.c","364","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","369","pid_pos_t pos_pid;                  /* 鐩寸嚎妯″紡澶栫幆锛氫綅缃幆PID */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","371","pid_inc_t right_speed_pid;          /* 鍙宠疆閫熷害鐜疨ID */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","375","uint32_t prepare_start_tick = 0U;   /* PREPARE寮€濮媡ick */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","379","float track_last_valid_weight = 0.0f; /* 寰抗妯″紡锛氫笂涓€娆℃湁鏁堟潈閲?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","380","uint8_t track_has_valid_weight = 0U;  /* 寰抗妯″紡锛氭槸鍚﹀凡鏈夋湁鏁堟潈閲?*/"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","418","/* KEY2鍗曞嚮锛歮ode涓庤繍琛屾€佸叏閲嶇疆 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","429","/* 娓呯悊娈嬬暀鎺у埗璇锋眰锛岄伩鍏嶉噸缃悗绔嬪嵆琚棫浜嬩欢鎷夎蛋 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","434","/* KEY3鍗曞嚮锛氬垏mode骞跺洖OFF */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","445","/* KEY3鍙屽嚮锛歄FF->PREPARE(浠卪ode!=0)锛孭REPARE/ON->OFF */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","470","/* STOP鎬佷笅鍙屽嚮涓嶇洿鎺ヨ繘PREPARE */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","512","/* 鐩寸嚎妯″紡棣栨杩涘叆ON鏃讹紝寮€鍚?绉掍繚鎶ょ獥 */"
"乱码注释/文本","Code\01_Task\Src\task_dcc.c","530","/* 闈炲惊杩规ā寮忎笅涓嶄繚鐣欏惊杩瑰巻鍙叉潈閲?*/"
"占位注释","Code\01_Task\Src\task_gpio.c","3","* @brief   代码文件功能说明"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","13","/* 姣杞崲涓簍ick锛屽悜涓婂彇鏁翠笖鏈€灏? tick */"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","32","/* Tick姣旇緝锛歯ow鏄惁宸茬粡鍒拌揪target锛堟敮鎸佸洖缁曪級 */"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","38","/* OFF/PREPARE缁熶竴娓呴浂杈撳嚭锛岄槻姝㈢姸鎬佹畫鐣?*/"
"占位注释","Code\01_Task\Src\task_gpio.c","46","* @brief  函数说明：StartGpioTask"
"占位注释","Code\01_Task\Src\task_gpio.c","47","* @param argument 参数说明"
"占位注释","Code\01_Task\Src\task_gpio.c","48","* @return 返回值说明"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","63","uint32_t key_beep_deadline = 0U;    /* 鎸夐敭铚傞福缁撴潫鏃跺埢 */"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","64","uint32_t green_toggle_tick = 0U;    /* 涓嬫缁跨伅缈昏浆鏃跺埢 */"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","68","uint8_t run_state;                  /* 褰撳墠DCC杩愯鐘舵€?*/"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","71","int green_led_on = 0;               /* 褰撳墠缁跨伅閫昏緫鐘舵€?*/"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","72","int red_led_on = 0;                 /* 褰撳墠绾㈢伅閫昏緫鐘舵€?*/"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","73","int buzzer_on = 0;                  /* STOP铚傞福鑺傚閫昏緫鐘舵€?*/"
"乱码注释/文本","Code\01_Task\Src\task_gpio.c","75","int laser_output_on = 0;            /* 婵€鍏夌户鐢靛櫒褰撳墠鐗╃悊杈撳嚭鐘舵€?*/"
